Name,Type
Echter Blauer Wildbacher,Red
Echter Wildbacher Blau,Red
Fruehblaue,Red
Fruehblauer Wildbacher,Red
Graeutler,Red
Graeutler Blauer,Red
Grosser Mauserl,Red
Grosses Mauserl,Red
Gutblaue,Red
Kauka Schlechte,Red
Kleinblaue,Red
Kracher Blauer,Red
Kraeutler Blau,Red
Mali Zherni,Red
Maslerl,Red
Mauserl,Red
Mauserl Grosses,Red
Pticnik Crni,Red
Ptinik Crni,Red
Schilcher,Red
Schilchertraube,Red
Schillertraube,Red
Schlechte Kauka,Red
Schlehenolauer Wildbacher,Red
Spaete Blauer Wildbacher,Red
Tizhnik,Red
Vildbasske,Red
Vranek,Red
Vranac,Red
Wildbacher,Red
Blaufränkisch,Red
Limberger,Red
Blanc Doux,Red
Blau Fraenkisch,Red
Blau Fraenkische,Red
Blauer Lemberger,Red
Blauer Limberger,Red
Blaufränkisch,Red
Blaufranchis,Red
Blaufranchisch,Red
Blue French,Red
Burgund Kekfrankos,Red
Burgund Mare,Red
Cerne,Red
Cerne Skalicke,Red
Cerne Starosvetske,Red
Cerny Muskatel,Red
Chirokolistny,Red
Cierny Zierfandler,Red
Crna Frankovka,Red
Crna Moravka,Red
Fernon,Red
Fraenkische,Red
Fraenkische Schwarz,Red
Franconia,Red
Franconia nera,Red
Franconia nero,Red
Franconien bleu,Red
Franconien noir,Red
Frankinja,Red
Frankinja Modra,Red
Frankovka,Red
Frankovka Cerna,Red
Frankovka Crna,Red
Frankovka Modra,Red
Fruehschwarze,Red
Game,Red
Grossburgunder,Red
Imberghem,Red
Imbergher,Red
Jubilaeumsrebe,Red
Karmazin,Red
Kekfrank,Red
Kek Frankos,Red
Kekfrankos,Red
Lampart,Red
Lemberger,Red
Limberg,Red
Limberger blauer,Red
Limberger noir,Red
Limburske,Red
Maehrische,Red
Modra Frankija,Red
Modra Frankinja,Red
Modry Hyblink,Red
Moravka,Red
Moravske,Red
Muskateller Schwarz,Red
Nagyburgundi,Red
Neskorak,Red
Neskore,Red
Neskore Cierne,Red
Noir de Franconie,Red
Oporto,Red
Orna Frankovka,Red
Portugais Lerouse,Red
Portugais Leroux,Red
Portugais Rouge,Red
Portugieser Rother,Red
Pozdni,Red
Pozdni Skalicke Cerne,Red
Schwarz Limberger,Red
Schwarz Fraenkische,Red
Schwarzer Burgunder,Red
Schwarzgrobe,Red
Serina,Red
Shirokolistnyi,Red
Sirokolidtnyj,Red
Sirokolstnii,Red
Starosvetske,Red
Starovetsky Hrozen,Red
Szeleslevelue,Red
Teltfuertue Kekfrankos,Red
Teltfurtu Kekfrankos,Red
Vaghyburgundi,Red
Velke Bugundske,Red
Vojvodino,Red
Bobal,Red
Balau,Red
Balauro,Red
Benicarlo,Red
Boal,Red
Bobal Noir,Red
Bobos,Red
Carignan D'Espagne,Red
Carignan D'Espagne A Fronton,Red
Carignan Espagnol,Red
Coreana,Red
Espagnol,Red
Folle Blanche Du Minervois,Red
Moravio,Red
Pobreton,Red
Provechon,Red
Rageno,Red
Rajeno,Red
Requena,Red
Requenera,Red
Requeno,Red
Terret D'Espagna,Red
Terret D'Espagne,Red
Tinta Madrid,Red
Tinto De Requena,Red
Tinto De Zurra,Red
Tonto De Zurra,Red
Valenciana,Red
Valenciana Tinta,Red
Valenciana Tinto,Red
Vinate,Red
Boğazkere,Red
Saraplik Siyah,Red
Siyah Saraplik,Red
Bombino Nero,Red
Bambino,Red
Buonvino,Red
Buonvino Nero,Red
Calatamuro Nero,Red
Cola Tamburo Nero,Red
Bonamico,Red
Buenamico,Red
Buon Amico,Red
Buonamico,Red
Canaiolo Romano,Red
Ceragia,Red
Dorace,Red
Durace,Red
Giacomino,Red
Neret,Red
Neyret,Red
Pulera,Red
Sangioveto,Red
Tinto,Red
Uva Di Palaia,Red
Uva Rosa,Red
Bonarda Piemontese,Red
Balsamina,Red
Banarda Di Chieri,Red
Bonarda,Red
Bonarda A Grandes Grappes,Red
Bonarda Del Monferrato,Red
Bonarda Dell' Astigiano,Red
Bonarda Dell' Astigiano E Monferrato,Red
Bonarda Di Asti,Red
Bonarda Di Chieri,Red
Bonarda Di Piemonte,Red
Bonarda Di Pyemont,Red
Bonarda Du Piemont,Red
Bonarda Nera,Red
Bonarda Nero,Red
Driola,Red
Kanaiolo Krasnyi,Red
Bonda,Red
Bondola,Red
Bistershna Zhernina,Red
Bistriska Crnina,Red
Blaustiel Blau,Red
Bonda,Red
Bondola Nera,Red
Bondoletta,Red
Brieger,Red
Briegler,Red
Bundula,Red
Chailloche,Red
Longobardo,Red
Mohrenkoenig,Red
Bondoletta,Red
Bondola,Red
Bonvedro,Red
Bariadorgia,Red
Bastardo,Red
Bombedra,Red
Bomogastro,Red
Bomvedro,Red
Bonifacienco,Red
Bonifazino,Red
Bonvedro,Red
Bunifazinu,Red
Cacagliola,Red
Carcaghjoliu Neru,Red
Carcaghjolu Neru,Red
Carcagiola,Red
Carcajiola,Red
Carcajola Noir,Red
Carcajolo,Red
Carcajolo Nero,Red
Carcajolo Noir,Red
Cargajola,Red
Caricagiola,Red
Espagnin,Red
Espagnin Noir,Red
False Carignan,Red
Lambrusco De Alentejo,Red
Marota,Red
Monvedro,Red
Monvedro,Red
Monvedro De Sines,Red
Monvedro Tinto,Red
Morteira,Red
Murteira,Red
Paraletta,Red
Parralada,Red
Parraleta,Red
Parreleta,Red
Pau Ferro,Red
Ribote,Red
Ribote,Red
Salceno Negro,Red
Tinta Caiada,Red
Tinta Da Lameira,Red
Tinta Do Lameiro,Red
Tinta Lameira,Red
Tinta Murteira,Red
Tintorro,Red
Torres D'Algarve,Red
Borba,Red
Borracal,Red
Azedo,Red
Bagalhal,Red
Bogalhal,Red
Borraco,Red
Borrasao,Red
Bougalhal,Red
Bovvaco,Red
Cachino,Red
Cainho Gordo,Red
Cainho Grande,Red
Cainho Grosso,Red
Caino Del Pais,Red
Caino Gordo,Red
Caino Redondo,Red
Caino Tinto,Red
Esfarrapa,Red
Esfarrapas,Red
Espadeiro Redondo,Red
Morraca,Red
Murracal,Red
Oil De Chapaud,Red
Olho De Sapo,Red
Tinta Femia,Red
Tinta Femia De Aldan,Red
Tinto Redondo,Red
Bouchalès,Red
Aubet,Red
Bouchales A Buzet,Red
Bouchales Chedy,Red
Bouchalets,Red
Bouchares,Red
Bouchedey,Red
Boucheres,Red
Bouissalet,Red
Bouscales,Red
Bouscares,Red
Bouyssalet,Red
Capbreton Rouge,Red
Cayla,Red
Crapput,Red
Craput,Red
Cujas,Red
Esparbasque,Red
Grappu,Red
Grappu De La Dordogne,Red
Grapput,Red
Gros Bouchales,Red
Gros Bouchares,Red
Gros De Judith,Red
Gros Grappu,Red
Gros Marthy,Red
Gros Marty,Red
Gros Maure,Red
Gros Mol,Red
Jeanjean,Red
Negrasse,Red
Picardan,Red
Picardan Noir,Red
Piquardan,Red
Plant Touzan,Red
Prolongeau,Red
Prueyras,Red
Queuefort,Red
Toussan,Red
Touzan,Red
Bourrisquou,Red
Bourrignou,Red
Bourriscou,Red
Bourrisquou De Romanet,Red
Bourrisquou De Romani,Red
Mourrisquou De Romani,Red
Romanet,Red
Bouteillan Noir,Red
Bouteillan A Gros Grain,Red
Boutelion Noir,Red
Caian,Red
Callion Nero,Red
Cargomuou,Red
Cayau,Red
Esfouiral,Red
Esfouiras De Roquemaure,Red
Fouiral,Red
Mentone,Red
Moulas,Red
Petit Bouteillan,Red
Plant De Psalmodi,Red
Psalmodi Noir,Red
Psalmody,Red
Quagliana,Red
Quagliano Nero,Red
Quaian,Red
Quajan,Red
Quagliano,Red
Qualiano,Red
Sigotier,Red
Sigoyer,Red
Bovale Grande,Red
Bova Murru,Red
Bovale,Red
Bovale Di Spagna,Red
Bovale Grosso,Red
Bovale Mannu,Red
Bovale Murru,Red
Bovali Mannu,Red
Maraiola Maggiore,Red
Mostaia,Red
Nieddera,Red
Tintarella,Red
Tintiglia,Red
Tintilia,Red
Tintillosa,Red
Tintillu,Red
Tintirella,Red
Zinzillosa,Red
Bovale Sardo,Red
Graciano,Red
Alicante,Red
Bastardo Nero,Red
Bois Dur,Red
Bordelais,Red
Bovale,Red
Bovale Piccolo,Red
Bovale Piticco,Red
Bovaleddo,Red
Bovaleddu,Red
Bovali Mannu,Red
Bualeddu,Red
Cadelanisca,Red
Cagliunari,Red
Cagniulari,Red
Cagnolari Nero,Red
Cagnonale,Red
Cagnorali Nero,Red
Cagnovali,Red
Cagnovali Nero,Red
Cagnulari,Red
Cagnulari Bastardo,Red
Cagnulari Sardo,Red
Cagnulatu,Red
Calda Reio,Red
Caldareddhu,Red
Caldareddu,Red
Caldarello,Red
Cardanissia,Red
Cardinissia,Red
Cargo Muol,Red
Carrixa,Red
Casca,Red
Cendron,Red
Charge Mulet,Red
Courouillade,Red
Couthurier,Red
Couturier,Red
Drug,Red
Enfarine,Red
Graciana,Red
Graciano 15-5,Red
Graciano Tinto,Red
Gros Negrette,Red
Grosse Negrette,Red
Himrisnky,Red
Jerusano,Red
Karis,Red
Marastel,Red
Maristeddo,Red
Matarou,Red
Materou,Red
Minostello,Red
Minustello,Red
Minustellu,Red
Minustillu,Red
Monastel,Red
Monasteou,Red
Monaster,Red
Monastrel,Red
Monastrell Menudo,Red
Monastrell Verdadero,Red
Monestaou,Red
Monestel,Red
Moraiola Minore,Red
Morastel,Red
Morastell,Red
Morestel,Red
Moristell,Red
Morrastel,Red
Morrastel Tantot,Red
Moura,Red
Mourastel,Red
Mouroustel,Red
Mourrastel,Red
Murastellu,Red
Muristeddo,Red
Muristeddu,Red
Muristellu,Red
Negrette De Montauban,Red
Negrette De Pays,Red
Nieddu Prunizza,Red
Perpignan,Red
Perpignanou Bois Dur,Red
Perpigne,Red
Plant De Ledenon,Red
Tanat Gris,Red
Tannat Bordelais,Red
Tannat Gris,Red
Tinta,Red
Tinta De Fontes,Red
Tinta Do Padre Antonio,Red
Tinta Fontes,Red
Tinta Mencida,Red
Tinta Menuda,Red
Tinta Miuda,Red
Tinta Miuda De Fontes,Red
Tintilho,Red
Tintilla,Red
Tintilla De Rota,Red
Tintillo,Red
Tintillo Alicante,Red
Tinto,Red
Torrentes,Red
Uva Cagnelata,Red
Verdadero,Red
Xeres,Red
Xerez,Red
Zinzillosa,Red
Bracciola Nera,Red
Barciuola,Red
Bracciola,Red
Bracciula,Red
Bracciuola,Red
Braciola,Red
Braciuola,Red
Brassola,Red
Brassora,Red
Brazolata,Red
Rappalunga,Red
Brachetto del Piemonte,Red
Brachetto,Red
Borgogna,Red
Bracchetto,Red
Bracelet,Red
Brachet De Nice,Red
Brachetto D' Acqui,Red
Brachetto D'Alexandrie,Red
Brachetto Di Acqui,Red
Brachetto Di Montabone,Red
Brachetto Du Piemont,Red
Braquet Des Jardins,Red
Calitor,Red
Moscato Nero,Red
Brancellao,Red
Alvarelhao,Red
Albarello,Red
Alvaralhao,Red
Alvarelhao De Pe Branco,Red
Alvarelhao De Vara Branca,Red
Alvarelho,Red
Alvarellao,Red
Alvarello,Red
Alvarello Gallego,Red
Alvarelo,Red
Alvarelyo,Red
Avarilhao,Red
Brancelhao,Red
Brancelho,Red
Brancello,Red
Brencellao,Red
Broncellao,Red
Locaia,Red
Pilongo,Red
Pirrauvo,Red
Pirruivo,Red
Serradelo,Red
Serradillo,Red
Uva Gallega,Red
Uva Negra,Red
Varancelha,Red
Verancelha,Red
Braquet Noir,Red
Brachet,Red
Brachetto,Red
Bracke,Red
Braquet,Red
Bruquet,Red
Calito Du Languedoc,Red
Canseron,Red
Brugnola,Red
Brujidera,Red
Marufo,Red
Abrunhal,Red
Barrete De Padre,Red
Brujidero,Red
Brujiguero,Red
Colgadera,Red
Crujideiro,Red
Crujidera,Red
Crujidero Di Spagna,Red
Falso Mourisco,Red
Lagrima Noir,Red
Lamego,Red
Lobo,Red
Malvasia,Red
Marouco,Red
Marufa,Red
Marufo Roxo,Red
Marujo,Red
Moravia Dulce,Red
Morisco Tinto,Red
Morocco,Red
Mourico,Red
Mourisca,Red
Mourisco,Red
Mourisco Du Douro,Red
Mourisco Nos Vinhos Verdes,Red
Mourisco Preto,Red
Mourisco Roxo,Red
Mourisco Tinto,Red
Olho De Rei,Red
Rucial,Red
Tinta Amarela Grossa,Red
Tinta Do Caramelo,Red
Tinta Grossa,Red
Trujidera,Red
Trujidero,Red
Uva De Rei,Red
Uva Rei,Red
Brun Argenté,Red
Arzhente,Red
Bakarezo,Red
Bryun,Red
Camarese,Red
Camareze,Red
Camarezo,Red
Cameres Du Gard,Red
Kamaredyu Gard,Red
Kamarez,Red
Madeleine,Red
Vacarese,Red
Vacareze Blanc,Red
Vaccarese,Red
Vaccareso,Red
Vaccareze,Red
Vakarez,Red
Brun Fourca,Red
Brun D'Aureol,Red
Brun D'Auriol,Red
Brun De Farnous,Red
Brun Farnous,Red
Brun Fourcat,Red
Brun Tourcae,Red
Brunfourka,Red
Caula,Red
Caula Noir De Vaucluse,Red
Farnous,Red
Floura,Red
Flouron,Red
Gros Taulier,Red
Manconnet,Red
Morrastel Fleuri,Red
Morrastel Flourat,Red
Moulan,Red
Moulard,Red
Moulau,Red
Mourastel Flourat,Red
Moureau,Red
Mourrastel Fleuri,Red
Mourrastel Floura,Red
Mourrastel Flourat,Red
Mouzeau,Red
Mulon,Red
Plant De Bordeaux,Red
Plant Francais,Red
Tinto Gallego,Red
Brunal,Red
Alfrocheiro,Red
Albarin Frances,Red
Albarin Negrin,Red
Albarin Negro,Red
Albarin Tinto,Red
Albarinon,Red
Alfrocheiro Preto,Red
Alfrucheiro,Red
Alfurcheiro,Red
Baboso Negro,Red
Bastardo Negro,Red
Caino Gordo,Red
Tinta Bastardinha,Red
Tinta Francesa De Viseu,Red
Tinta Francisca De Viseu,Red
Tinto Serodo,Red
Brunello,Red
Sangiovese,Red
Brunelletto,Red
Brunello Di Montalcino,Red
Calabrese,Red
Cardisco,Red
Chiantino,Red
Cordisio,Red
Cuocignola,Red
Gabba Cani,Red
Guarnacciola,Red
Ingannacane,Red
Lacrima,Red
Lakhdari,Red
Lambrusco,Red
Lambrusco Mendoza,Red
Maglioppa,Red
Montepulciano,Red
Montepulciano Primutico,Red
Morellino,Red
Morellino De Florence,Red
Morellino Di Scansano,Red
Morellone,Red
Moscatale,Red
Moscatele,Red
Negretta,Red
Nerino,Red
Nerino Sanvicetro,Red
Niella,Red
Nielluccia,Red
Nielluccio,Red
Niellucciu,Red
Pigniuolo Rosso,Red
Pignolo,Red
Pignolo Rosso,Red
Pignuolo,Red
Plant Romain,Red
Primaticcio,Red
Prugnolino Dolce,Red
Prugnolo,Red
Prugnolo Di Montepulciano,Red
Prugnolo Dolce,Red
Prugnolo Gentile,Red
Prugnolo Gentile Di Montepulciano,Red
Prugnolo Rosso,Red
San Gioveto Grosso,Red
San Montanino,Red
San Quioveto,Red
San Roveto,Red
San Zoveto,Red
Sancivetro,Red
Sangineto,Red
Sangiogheto,Red
Sangiovese Crni,Red
Sangiovese Dal Cannello Lungo,Red
Sangiovese Dal Cannello Lungo Di Predappio,Red
Sangiovese Di Lamole,Red
Sangiovese Di Romagna,Red
Sangiovese Dolce,Red
Sangiovese Elba,Red
Sangiovese Gentile,Red
Sangiovese Grosso,Red
Sangiovese Nostrano,Red
Sangiovese Piccolo,Red
Sangiovese Piccolo Precoce,Red
Sangiovese Romagnolo,Red
Sangiovese Toscano,Red
Sangiovete,Red
Sangioveto,Red
Sangioveto Dell'Elba,Red
Sangioveto Dolce,Red
Sangioveto Grosso,Red
Sangioveto Montanino,Red
Sanvincetro,Red
Sanxhoveze,Red
Sanzoveto,Red
Tabernello,Red
Tignolo,Red
Tignolo Sointovese,Red
Tipsa,Red
Toustain,Red
Uva Abruzzi,Red
Uva Canina,Red
Uvetta,Red
Bubbierasco,Red
Buket,Red
Bouquet,Red
Bouket,Red
Busuioaca de Bohotin,Red
Muscat A Petits Grains Noirs,Red
Black Frontignan,Red
Busuioaca,Red
Busuioaca De Bohotin,Red
Busuioaca Roza De Bohotin,Red
Busuoaca Neagra,Red
Caillaba,Red
Caillaba Noir,Red
Cayabe,Red
Caylor Noir Musque,Red
Cerni Muskat,Red
Fekete Muskotally,Red
Frontignan Black,Red
Frontignan Rot,Red
Gaillaba,Red
Gara Muscat,Red
Gara Muskat,Red
Jura Black Muscat,Red
Kajyaba,Red
Kayyaba,Red
Mor Muscateller,Red
Moscatel Galego,Red
Moscatel Negro,Red
Moscatel Tinto,Red
Moscateller Nigra,Red
Moscatello Nero,Red
Moscato Greco Nero,Red
Moscato Nero,Red
Moschato Mavro,Red
Muscat Caillaba,Red
Muscat Calyaba,Red
Muscat D'Eisenstadt,Red
Muscat De Yura,Red
Muscat Du Jura,Red
Muscat Gaillaba,Red
Muscat Kaillaba,Red
Muscat Mavro,Red
Muscat Modry,Red
Muscat Nero De Spania,Red
Muscat Noir,Red
Muscat Noir A Petits Grains,Red
Muscat Noir D'Eisenstadt,Red
Muscat Noir Du Jura,Red
Muscat Noir Ordinaire,Red
Muscat Rouge,Red
Muscat Violet,Red
Muscat Violet De Madeira,Red
Muscat Zerni,Red
Muscateller,Red
Muskat Cerni,Red
Muskat Chernyi,Red
Muskat Chernyi Kalyabskii,Red
Muskat Kalyaba,Red
Muskat Modry,Red
Muskat Modry Malozrnny,Red
Muskateller Blau,Red
Muskateller Grau,Red
Muskateller Schwarz,Red
Muskateller Schwarzblau,Red
Muskotally Kek,Red
Noir De Thyra,Red
Qara Muskat,Red
Rother Frontignan,Red
Schmeckende Schwarz,Red
Schwarze Schmeckende,Red
Schwarzer Muskateller,Red
Schwarzer Weihrauch,Red
Tamaioasa Vanata De Bohotin,Red
Weihrauch Schwarz,Red
Caberinta,Red
Gargiulo,Red
Cabernet Carbon,Red
Freiburg,Red
Cabernet Carol,Red
Freiburg,Red
Cabernet Colonjes,Red
Valentin Blattner,Red
Cabernet Cortis,Red
Freiburg,Red
Cabernet Cubin,Red
Weinsberg,Red
Cabernet Dorio,Red
Weinsberg,Red
Cabernet Dorsa,Red
Weinsberg,Red
Cabernet Franc,Red
Acheria,Red
Ardounet,Red
Aroia,Red
Arrouya,Red
Auxquels,Red
Baro,Red
Beron,Red
Bidure,Red
Bordeaux,Red
Bordo,Red
Bordo Magher,Red
Boubet,Red
Bouchet,Red
Bouchet Franc,Red
Bouchet Saint-Emilion,Red
Bouchy,Red
Breton,Red
Burdeas Tinto,Red
Cabernet,Red
Cabernet Aunis,Red
Cabernet Bresciano,Red
Cabernet D'Aunis,Red
Cabernet Franc Blauer,Red
Cabernet Franc Crni,Red
Cabernet Franc Nero,Red
Cabernet Franc Noir,Red
Cabernet Francese,Red
Cabernet Franco,Red
Cabernet Frank,Red
Cabernet Gris,Red
Cabonet,Red
Cabrunet,Red
Capbreton,Red
Capbreton Rouge,Red
Carbenet,Red
Carbonet,Red
Carbouet,Red
Carmene,Red
Carmenet,Red
Carmenet Grand,Red
Carne Fran,Red
Couahort,Red
Crouchen Negre,Red
Crouchen Noir,Red
Fer Servadou,Red
Fer Servandou,Red
Gamput,Red
Gro Kaberne,Red
Gro Vidyur,Red
Gro Vidyuz,Red
Gros Bouchet,Red
Gros Bouschet,Red
Gros Caberne,Red
Gros Cabernet,Red
Gros Vidure,Red
Gros Vidyuz,Red
Grosse Vidure,Red
Hartling,Red
Kaberne,Red
Kaberne Fran,Red
Kaberne Frank,Red
Kabernet Frank Breton,Red
Karmene,Red
Messanges,Red
Messanges Rouge,Red
Morenoa Veron Bouchy,Red
Noir Dur,Red
Petit Fer,Red
Petit Viodure,Red
Petite Vidure,Red
Petite Vignedure,Red
Plan Des Sables,Red
Plant Breton,Red
Plant De L'Abbe Breton,Red
Qro Kaberne,Red
Qro Vidyuz,Red
Sable Rouge,Red
Trouchet,Red
Trouchet Noir,Red
Tsapournako,Red
Verdejilla Tinto,Red
Veron,Red
Veron Bouchy,Red
Veronais,Red
Vidure,Red
Vuidure,Red
Cabernet Gernischt,Red
Carmenere,Red
Bordo,Red
Bouton Blanc,Red
Caberne Karmener,Red
Cabernella,Red
Cabernelle,Red
Cabernet,Red
Cabernet Carmenere,Red
Cabernet Cosmo,Red
Cabernet Gernicht,Red
Cabernet Gernischet,Red
Cabernet Gerniseht,Red
Cabernet Grande,Red
Cabernet Grosso,Red
Cabernet Italico,Red
Cabernet Shelongzhu,Red
Carbonet,Red
Carbouet,Red
Caremenelle,Red
Carmenea,Red
Carmenegre,Red
Carmenelle,Red
Carmeneyre,Red
Gran Vidyur,Red
Grand Carmenet,Red
Grand Vidure,Red
Grande Vidure,Red
Grande Vuidure,Red
Grosse Vidure,Red
Kaberne,Red
Kaberne Karmener,Red
Kabernel,Red
Karmene,Red
Karmensel,Red
Uva Francesca,Red
Cabernet Jura,Red
Valentin Blattner,Red
Cabernet Mitos,Red
Weinsberg,Red
Cabernet Moravia,Red
Cabernet Pfeffer,Red
Pfeffer Cabernet,Red
Cabernet Sauvignon,Red
Bidure,Red
Bordaoux,Red
Bordeaux,Red
Bordo,Red
Bouche,Red
Bouchet,Red
Bouchet Sauvignon,Red
Bourdeos Tinto,Red
Bouschet Sauvignon,Red
Breton,Red
Burdeos Tinto,Red
Cabarnet Sauvignon,Red
Caberne,Red
Caberne Sovinion,Red
Cabernet Petit,Red
Cabernet Piccolo,Red
Cabernet Sauvignon Black,Red
Cabernet Sauvignon Blauer,Red
Cabernet Sauvignon Cl R5,Red
Cabernet Sauvignon Crni,Red
Cabernet Sauvignon Nero,Red
Cabernet Sauvignon Noir,Red
Cabernet Sauvignon Petit,Red
Carbonet,Red
Carbouet,Red
Carmenet,Red
Castet,Red
Dzanati,Red
Enfin,Red
Epicier Noir,Red
Kaberne Sovinjon,Red
Kaberne Sovinon,Red
Kaberne Sovinyon,Red
Kabernet Suvinjon,Red
Lafet,Red
Lafit,Red
Lafite,Red
Marchoupet,Red
Melkii Chernyi,Red
Menut,Red
Navarre,Red
Petit Bouchet,Red
Petit Bouschet,Red
Petit Cabernet,Red
Petit Cavernet Sauvignon,Red
Petit Vidure,Red
Petit-Bouchet,Red
Petite Parde,Red
Petite Vidure,Red
Sauvignon,Red
Sauvignon Rouge,Red
Sauvignonne,Red
Vaucluse,Red
Veron,Red
Vidure,Red
Vidure Petite,Red
Vidure Sauvignon,Red
Vidure Sauvignonne,Red
Cabernet Severny,Red
Kaberne Severnyi,Red
Cabernet Severny,Red
Cabernet Severnyi,Red
Cabernet Szevernuej,Red
Kaberne Severnyi,Red
Cabertin,Red
Caddiu,Red
Caddeo,Red
Caddiu Nieddu,Red
Caddu,Red
Niedda,Red
Niedda Perda Serra,Red
Perda,Red
Serra,Red
Cagnulari,Red
Graciano,Red
Alicante,Red
Bastardo Nero,Red
Bois Dur,Red
Bordelais,Red
Bovale,Red
Bovale Piccolo,Red
Bovale Piticco,Red
Bovale Sardo,Red
Bovaleddo,Red
Bovaleddu,Red
Bovali Mannu,Red
Bualeddu,Red
Cadelanisca,Red
Cagliunari,Red
Cagniulari,Red
Cagnolari Nero,Red
Cagnonale,Red
Cagnorali Nero,Red
Cagnovali,Red
Cagnovali Nero,Red
Cagnulari,Red
Cagnulari Bastardo,Red
Cagnulari Sardo,Red
Cagnulatu,Red
Calda Reio,Red
Caldareddhu,Red
Caldareddu,Red
Caldarello,Red
Cardanissia,Red
Cardinissia,Red
Cargo Muol,Red
Carrixa,Red
Casca,Red
Cendron,Red
Charge Mulet,Red
Courouillade,Red
Couthurier,Red
Couturier,Red
Drug,Red
Enfarine,Red
Graciana,Red
Graciano 15-5,Red
Graciano Tinto,Red
Gros Negrette,Red
Grosse Negrette,Red
Himrisnky,Red
Jerusano,Red
Karis,Red
Marastel,Red
Maristeddo,Red
Matarou,Red
Materou,Red
Minostello,Red
Minustello,Red
Minustellu,Red
Minustillu,Red
Monastel,Red
Monasteou,Red
Monaster,Red
Monastrel,Red
Monastrell Menudo,Red
Monastrell Verdadero,Red
Monestaou,Red
Monestel,Red
Moraiola Minore,Red
Morastel,Red
Morastell,Red
Morestel,Red
Moristell,Red
Morrastel,Red
Morrastel Tantot,Red
Moura,Red
Mourastel,Red
Mouroustel,Red
Mourrastel,Red
Murastellu,Red
Muristeddo,Red
Muristeddu,Red
Muristellu,Red
Negrette De Montauban,Red
Negrette De Pays,Red
Nieddu Prunizza,Red
Perpignan,Red
Perpignanou Bois Dur,Red
Perpigne,Red
Plant De Ledenon,Red
Tanat Gris,Red
Tannat Bordelais,Red
Tannat Gris,Red
Tinta,Red
Tinta De Fontes,Red
Tinta Do Padre Antonio,Red
Tinta Fontes,Red
Tinta Mencida,Red
Tinta Menuda,Red
Tinta Miuda,Red
Tinta Miuda De Fontes,Red
Tintilho,Red
Tintilla,Red
Tintilla De Rota,Red
Tintillo,Red
Tintillo Alicante,Red
Tinto,Red
Torrentes,Red
Uva Cagnelata,Red
Verdadero,Red
Xeres,Red
Xerez,Red
Zinzillosa,Red
Caino Bravo,Red
Amaral,Red
Amaral Preto,Red
Azal,Red
Azal Preto,Red
Azal Tinto,Red
Azar,Red
Cachon,Red
Cainho Miudo,Red
Caino,Red
Caino Bravo,Red
Caino Tinto,Red
Cainzinho,Red
Sousao,Red
Sousao Galego,Red
Caiño Tinto,Red
Borracal Azedo,Red
Bagalhal,Red
Bogalhal,Red
Borraco,Red
Borrasao,Red
Bougalhal,Red
Bovvaco,Red
Cachino,Red
Cainho Gordo,Red
Cainho Grande,Red
Cainho Grosso,Red
Caino Del Pais,Red
Caino Gordo,Red
Caino Redondo,Red
Esfarrapa,Red
Esfarrapas,Red
Espadeiro Redondo,Red
Morraca,Red
Murracal,Red
Oil De Chapaud,Red
Olho De Sapo,Red
Tinta Femia,Red
Tinta Femia De Aldan,Red
Tinto Redondo,Red
Calabrese,Red
Alba De Calabria,Red
Calabrese Cappuciu Nero,Red
Calabrese D'Avola,Red
Calabrese De Calabria,Red
Calabrese Di Noto,Red
Calabrese Dolce,Red
Calabrese Nero,Red
Calabrese Pittatello,Red
Calabrese Pizuto,Red
Calabrese Pizzutello,Red
Calabrese Pizzutello Con La Foglia Rotonda,Red
Calabrese Pizzuto,Red
Calabreser Weiss,Red
Calabria,Red
Calabriai Fekete,Red
Calabrisi D'Avola,Red
Fekete Calabriai,Red
Kalabriai Fekete,Red
Nero D'Avola,Red
Raisin De Calibre Noir,Red
Strugeri De Calabria,Red
Uva De Calabria,Red
Calabrese di Montenuovo,Red
Calabrese Montenuovo,Red
Nero D'Avola,Red
Sangiovese,Red
Caladoc,Red
Caladok,Red
Kaladok,Red
Calandro,Red
Geilweilerhof,Red
Calitor Noir,Red
Anglas,Red
Assadoule Bouvier,Red
Binxeilla,Red
Blavette,Red
Calitor,Red
Canseron,Red
Cargo Miola,Red
Cargo Muou,Red
Catitor,Red
Causeron,Red
Causeroun,Red
Charge Mulet,Red
Col Tor,Red
Colitor,Red
Coulitor,Red
Coytor,Red
Dameron Des Vosges,Red
Foirard,Red
Foirat,Red
Fouiraire,Red
Fouiral,Red
Fouirassan,Red
Garriga,Red
Marounvern,Red
Mouillas,Red
Noeuds-Courts,Red
Nou Courte,Red
Pampoul,Red
Pecoui Touar,Red
Pecoui Tovar,Red
Picpoul De Fronton,Red
Picpoule Sorbier,Red
Piquepoul De Fronton,Red
Pride Of Australia,Red
Qualitor,Red
Ramonen,Red
Rouget De Salins,Red
Rousselin,Red
Rousselin Noir,Red
Rousset,Red
Rouxal,Red
Sang De Boeuf,Red
Saure,Red
Sen Zhan,Red
Siege Noir,Red
Sigotier,Red
Sigoyer,Red
Tentyure Artekskii,Red
Touar,Red
Çalkarası,Red
Çal Karası,Red
Callet,Red
Caloria,Red
Camaraou Noir,Red
Caino Redondo,Red
Camaralet Noir,Red
Camaran,Red
Camaras,Red
Camarau,Red
